sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_1251-9307.1	1251	9307	8056	4	8	0	0.55667	antibacterial	0.85	0.09	0.16	0.28		0.00	0.09	0.07	0.33	0.21	0.03	0.32	NC_003888.3_NC_003888.3_2;NC_003888.3_NC_003888.3_3;NC_003888.3_NC_003888.3_4;NC_003888.3_NC_003888.3_5		PF00270;PF04851;PF03457;PF06527;PF03457;PF13565;PF00665;PF09299
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_10406-33357.1	10406	33357	22951	24	27	1	0.69591	antibacterial	0.74	0.14	0.06	0.10		0.01	0.04	0.19	0.08	0.40	0.21	0.07	NC_003888.3_NC_003888.3_7;NC_003888.3_NC_003888.3_8;NC_003888.3_NC_003888.3_9;NC_003888.3_NC_003888.3_10;NC_003888.3_NC_003888.3_11;NC_003888.3_NC_003888.3_12;NC_003888.3_NC_003888.3_13;NC_003888.3_NC_003888.3_14;NC_003888.3_NC_003888.3_15;NC_003888.3_NC_003888.3_16;NC_003888.3_NC_003888.3_17;NC_003888.3_NC_003888.3_18;NC_003888.3_NC_003888.3_19;NC_003888.3_NC_003888.3_20;NC_003888.3_NC_003888.3_21;NC_003888.3_NC_003888.3_22;NC_003888.3_NC_003888.3_23;NC_003888.3_NC_003888.3_24;NC_003888.3_NC_003888.3_25;NC_003888.3_NC_003888.3_26;NC_003888.3_NC_003888.3_27;NC_003888.3_NC_003888.3_28;NC_003888.3_NC_003888.3_29;NC_003888.3_NC_003888.3_30	PF04101	PF06527;PF06965;PF00999;PF01590;PF13492;PF03861;PF14690;PF01610;PF01695;PF01695;PF13555;PF13191;PF13304;PF12079;PF00932;PF03984;PF13088;PF03457;PF12680;PF08281;PF04545;PF04542;PF01734;PF13579;PF13439;PF00201;PF04101
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_37613-39812.1	37613	39812	2199	3	6	0	0.54178	antibacterial	0.73	0.15	0.13	0.28		0.00	0.18	0.27	0.31	0.15	0.01	0.10	NC_003888.3_NC_003888.3_36;NC_003888.3_NC_003888.3_37;NC_003888.3_NC_003888.3_38		PF13463;PF12802;PF01047;PF01978;PF12697;PF03861
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_45266-121371.1	45266	121371	76105	56	119	11	0.84872		0.47	0.33	0.23	0.19	Polyketide	0.05	0.14	0.15	0.66	0.09	0.02	0.05	NC_003888.3_NC_003888.3_46;NC_003888.3_NC_003888.3_47;NC_003888.3_NC_003888.3_48;NC_003888.3_NC_003888.3_49;NC_003888.3_NC_003888.3_50;NC_003888.3_NC_003888.3_51;NC_003888.3_NC_003888.3_52;NC_003888.3_NC_003888.3_53;NC_003888.3_NC_003888.3_54;NC_003888.3_NC_003888.3_55;NC_003888.3_NC_003888.3_56;NC_003888.3_NC_003888.3_57;NC_003888.3_NC_003888.3_58;NC_003888.3_NC_003888.3_59;NC_003888.3_NC_003888.3_60;NC_003888.3_NC_003888.3_61;NC_003888.3_NC_003888.3_62;NC_003888.3_NC_003888.3_63;NC_003888.3_NC_003888.3_64;NC_003888.3_NC_003888.3_65;NC_003888.3_NC_003888.3_66;NC_003888.3_NC_003888.3_67;NC_003888.3_NC_003888.3_68;NC_003888.3_NC_003888.3_69;NC_003888.3_NC_003888.3_70;NC_003888.3_NC_003888.3_71;NC_003888.3_NC_003888.3_72;NC_003888.3_NC_003888.3_73;NC_003888.3_NC_003888.3_74;NC_003888.3_NC_003888.3_75;NC_003888.3_NC_003888.3_76;NC_003888.3_NC_003888.3_77;NC_003888.3_NC_003888.3_78;NC_003888.3_NC_003888.3_79;NC_003888.3_NC_003888.3_80;NC_003888.3_NC_003888.3_81;NC_003888.3_NC_003888.3_82;NC_003888.3_NC_003888.3_83;NC_003888.3_NC_003888.3_84;NC_003888.3_NC_003888.3_85;NC_003888.3_NC_003888.3_86;NC_003888.3_NC_003888.3_87;NC_003888.3_NC_003888.3_88;NC_003888.3_NC_003888.3_89;NC_003888.3_NC_003888.3_90;NC_003888.3_NC_003888.3_91;NC_003888.3_NC_003888.3_92;NC_003888.3_NC_003888.3_93;NC_003888.3_NC_003888.3_94;NC_003888.3_NC_003888.3_95;NC_003888.3_NC_003888.3_96;NC_003888.3_NC_003888.3_97;NC_003888.3_NC_003888.3_98;NC_003888.3_NC_003888.3_99;NC_003888.3_NC_003888.3_100;NC_003888.3_NC_003888.3_101	PF02801;PF01266;PF00107;PF01243;PF00106;PF01370;PF08659;PF00109;PF07993;PF00698;PF08240	PF08240;PF00208;PF00107;PF13602;PF13602;PF06824;PF13377;PF00532;PF13407;PF00356;PF00480;PF01547;PF13416;PF00528;PF00528;PF03663;PF01074;PF07748;PF05593;PF12802;PF13340;PF06779;PF07690;PF00083;PF12832;PF08974;PF13586;PF01609;PF13340;PF01609;PF13586;PF01068;PF03747;PF12706;PF13483;PF00753;PF13354;PF00126;PF03466;PF13011;PF01527;PF13518;PF13384;PF13551;PF13565;PF00665;PF13683;PF13333;PF13683;PF00665;PF13276;PF13565;PF01527;PF13011;PF13551;PF13518;PF13384;PF13586;PF01609;PF13340;PF13340;PF10946;PF00042;PF00970;PF00175;PF01243;PF00457;PF13340;PF13560;PF00106;PF01370;PF08659;PF13561;PF13586;PF01609;PF13340;PF00440;PF00106;PF01370;PF13561;PF13460;PF04616;PF14028;PF12698;PF00005;PF13191;PF13304;PF13476;PF00743;PF07992;PF13738;PF13450;PF01266;PF13434;PF06974;PF03007;PF01370;PF07993;PF16363;PF01073;PF03060;PF01645;PF00109;PF02801;PF16197;PF00698;PF00550;PF08659;PF00106;PF13561;PF01073;PF14765;PF00109;PF02801;PF16197;PF00698;PF07977;PF00753;PF12706
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_122742-128290.1	122742	128290	5548	4	8	1	0.53106	antibacterial	0.58	0.05	0.07	0.34		0.00	0.38	0.29	0.15	0.12	0.01	0.06	NC_003888.3_NC_003888.3_103;NC_003888.3_NC_003888.3_104;NC_003888.3_NC_003888.3_105;NC_003888.3_NC_003888.3_106	PF00561	PF13191;PF13401;PF00196;PF13384;PF12146;PF00561;PF12697;PF12695
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_170910-191657.1	170910	191657	20747	19	75	11	0.66534	cytotoxic	0.23	0.63	0.12	0.08	Terpene	0.09	0.02	0.05	0.11	0.01	0.09	0.71	NC_003888.3_NC_003888.3_150;NC_003888.3_NC_003888.3_151;NC_003888.3_NC_003888.3_152;NC_003888.3_NC_003888.3_153;NC_003888.3_NC_003888.3_154;NC_003888.3_NC_003888.3_155;NC_003888.3_NC_003888.3_156;NC_003888.3_NC_003888.3_157;NC_003888.3_NC_003888.3_158;NC_003888.3_NC_003888.3_159;NC_003888.3_NC_003888.3_160;NC_003888.3_NC_003888.3_161;NC_003888.3_NC_003888.3_162;NC_003888.3_NC_003888.3_163;NC_003888.3_NC_003888.3_164;NC_003888.3_NC_003888.3_165;NC_003888.3_NC_003888.3_166;NC_003888.3_NC_003888.3_167;NC_003888.3_NC_003888.3_168	PF02737;PF00348;PF01266;PF00107;PF01593;PF00355;PF00494;PF08240;PF01494;PF08242;PF08241	PF11066;PF03441;PF04244;PF00348;PF13738;PF01266;PF01946;PF03486;PF00070;PF07992;PF12831;PF00890;PF13450;PF01593;PF00494;PF00355;PF01593;PF01266;PF13450;PF12831;PF00890;PF03486;PF00070;PF01946;PF07992;PF01262;PF01134;PF02737;PF01494;PF01209;PF13489;PF13847;PF13578;PF08241;PF08242;PF13649;PF05175;PF05834;PF07992;PF01266;PF00890;PF13450;PF01593;PF01266;PF13450;PF01946;PF12831;PF03486;PF00890;PF05834;PF07992;PF01494;PF01134;PF02310;PF02607;PF13411;PF12728;PF13518;PF00376;PF13384;PF01527;PF04542;PF08281;PF04545;PF13412;PF14344;PF10099;PF12900;PF00582;PF13602;PF00107;PF01262;PF08240;PF00582;PF07681
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_194759-195461.1	194759	195461	702	1	6	0	0.50230	antibacterial	0.81	0.07	0.10	0.20		0.00	0.06	0.15	0.31	0.35	0.01	0.17	NC_003888.3_NC_003888.3_171		PF00196;PF08281;PF04545;PF13412;PF13936;PF00072
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_211747-220764.1	211747	220764	9017	10	16	4	0.74626	antibacterial	0.67	0.13	0.25	0.24	Polyketide	0.02	0.05	0.12	0.61	0.05	0.04	0.16	NC_003888.3_NC_003888.3_184;NC_003888.3_NC_003888.3_185;NC_003888.3_NC_003888.3_186;NC_003888.3_NC_003888.3_187;NC_003888.3_NC_003888.3_188;NC_003888.3_NC_003888.3_189;NC_003888.3_NC_003888.3_190;NC_003888.3_NC_003888.3_191;NC_003888.3_NC_003888.3_192;NC_003888.3_NC_003888.3_193	PF00106;PF01370;PF08659;PF00583	PF02613;PF02665;PF12680;PF14534;PF07366;PF13586;PF13302;PF00583;PF14027;PF02909;PF08659;PF01370;PF00106;PF13561;PF13460;PF00440
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_245985-247869.1	245985	247869	1884	2	4	2	0.52204	antibacterial	0.82	0.07	0.18	0.12	Terpene	0.01	0.03	0.01	0.06	0.38	0.00	0.51	NC_003888.3_NC_003888.3_218;NC_003888.3_NC_003888.3_219	PF08659;PF00106	PF00106;PF08659;PF13561;PF04909
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_248676-249702.1	248676	249702	1026	1	3	2	0.53205	inhibitor	0.29	0.05	0.66	0.06	Polyketide	0.00	0.20	0.05	0.80	0.01	0.00	0.01	NC_003888.3_NC_003888.3_221	PF08240;PF00107	PF08240;PF00107;PF13602
